block_day,median_gas,median_gas_ma_7,sum_gas,sum_gas_ma_7
2022-07-20 00:00:00.000 UTC,37.9054248,37.9054248,1490.174033664487,1490.174033664487
2022-07-21 00:00:00.000 UTC,16.294604088,27.100014444,2437.5565289419633,1963.8652813032252
2022-07-22 00:00:00.000 UTC,14.089461237,22.763163375,1897.5748805936012,1941.768481066684
2022-07-23 00:00:00.000 UTC,10.606205885,19.7239240025,1580.8524340153697,1851.5394693038554
2022-07-24 00:00:00.000 UTC,9.86771492,17.752682186,1305.7497251719537,1742.381520477475
2022-07-25 00:00:00.000 UTC,15.828423405,17.431972389166667,2273.9471674770566,1830.9757949774055
2022-07-26 00:00:00.000 UTC,23.222475415,18.259187107142857,2612.996076572991,1942.6929780624891
2022-07-27 00:00:00.000 UTC,14.190232783,17.750567816625,2413.159958028313,2001.5013505582172
2022-07-28 00:00:00.000 UTC,18.318146321,15.30215800675,2680.25179060558,2150.261070175854
2022-07-29 00:00:00.000 UTC,13.746699372,14.98366991725,1926.8469565065948,2086.422373621433
2022-07-30 00:00:00.000 UTC,8.170346949,14.24378063125,1177.6661983082947,1996.4337883357696
2022-07-31 00:00:00.000 UTC,7.89998416,13.905502915625,1119.7724876545317,1938.798795040665
2022-08-01 00:00:00.000 UTC,14.154165013,14.44130917725,2370.8114813186635,2071.9315145590035
2022-08-02 00:00:00.000 UTC,12.386743694,14.011099213375,1733.3922215077146,2004.3621463128356
2022-08-03 00:00:00.000 UTC,12.180445916,12.630845526,1534.482298064673,1869.5479239992958
2022-08-04 00:00:00.000 UTC,14.722193559,12.697340623,1613.055883733837,1769.5349147124864
2022-08-05 00:00:00.000 UTC,12.999657436,12.032529512375,1725.9113003973112,1650.2423534364527
2022-08-06 00:00:00.000 UTC,8.543470151,11.38212585975,1110.4240546827039,1548.1894907084663
2022-08-07 00:00:00.000 UTC,8.310395952,11.399631985125,1188.2372645192488,1549.5108739848356
2022-08-08 00:00:00.000 UTC,14.968422373,12.28318676175,2050.17286941978,1665.8109217054916
2022-08-09 00:00:00.000 UTC,15.97090051,12.510278698875,2145.3918560387033,1637.6334685454965
2022-08-10 00:00:00.000 UTC,22.203234961,13.73734010725,3164.5738500114476,1816.5311721084631
2022-08-11 00:00:00.000 UTC,21.885711114,14.950498257,2584.3057050054704,1947.7590979760628
2022-08-12 00:00:00.000 UTC,15.767215363,15.0811259825,2002.9163042049147,1996.4916505349474
2022-08-13 00:00:00.000 UTC,10.326630271,14.746997586875,1293.5008243462614,1942.4403410285663
2022-08-14 00:00:00.000 UTC,9.915321121,14.918478958125,1376.4016442872598,1975.6875397291358
2022-08-15 00:00:00.000 UTC,17.502235638,16.067458918875,2265.1477857320006,2110.30135488073
2022-08-16 00:00:00.000 UTC,11.971681831,15.692866351125,1471.0815041736107,2037.9149342249586
2022-08-17 00:00:00.000 UTC,11.441247674,15.126659746625,1520.4221646380813,1959.793722799881
2022-08-18 00:00:00.000 UTC,11.206019096,13.7520077635,1485.9915353817607,1749.9709334711702
2022-08-19 00:00:00.000 UTC,16.54134767,13.083962333,2033.8336184903933,1681.1619226567855
2022-08-20 00:00:00.000 UTC,9.31465593,12.277392403875,1359.6394148750765,1600.7523114905557
2022-08-21 00:00:00.000 UTC,7.018834227,11.863917898375,983.8135186172921,1562.0413982744344
2022-08-22 00:00:00.000 UTC,13.081222894,12.25965562,1673.8446330315887,1599.2217718674756
2022-08-23 00:00:00.000 UTC,12.578496345,11.644188208375,1583.4497416863385,1514.0095163617677
2022-08-24 00:00:00.000 UTC,11.633050707,11.601859317875,1482.7144259960003,1515.4636315895664
2022-08-25 00:00:00.000 UTC,11.417119037,11.59884323825,1757.093091721937,1545.0474974750484
2022-08-26 00:00:00.000 UTC,12.114000373,11.712340897875,1685.6483327268297,1570.0045971431819
2022-08-27 00:00:00.000 UTC,8.171316716,10.666087028625,1074.6573040410494,1450.107557837014
2022-08-28 00:00:00.000 UTC,7.762844762,10.472110632625,1070.8408749143675,1414.0077403419252
2022-08-29 00:00:00.000 UTC,14.34845414,11.38831312175,1862.747434164324,1523.8744797853044
2022-08-30 00:00:00.000 UTC,17.246085789,11.908920983625,2223.892904147461,1592.6305136747883
2022-08-31 00:00:00.000 UTC,19.854660307,12.818441478875,2455.016006290569,1701.5762967503172
2022-09-01 00:00:00.000 UTC,17.733159634,13.58095509475,2227.313993687996,1794.6512427118166
2022-09-02 00:00:00.000 UTC,12.983097659,13.7767024225,1611.335422574826,1776.4315340684277
2022-09-03 00:00:00.000 UTC,7.770047158,13.233708270625,961.4688946230201,1685.9091043054514
2022-09-04 00:00:00.000 UTC,8.62243698,13.290098303625,1062.7207764520026,1684.4170383568205
2022-09-05 00:00:00.000 UTC,10.313521292,13.608932869875,1314.9946694561495,1714.9362626745433
2022-09-06 00:00:00.000 UTC,13.848902641,13.5464889325,1852.328062729981,1713.6338412452503
2022-09-07 00:00:00.000 UTC,18.248481264,13.671788366875,2305.7136263143852,1723.861431516116
2022-09-08 00:00:00.000 UTC,19.268020392,13.5984583775,2472.47219280246,1726.0434548301023
2022-09-09 00:00:00.000 UTC,20.019975615,13.884310375125,2319.3859236225676,1737.5524460719237
2022-09-10 00:00:00.000 UTC,10.496342387,13.573465966125,1378.743419423341,1708.478445677988
2022-09-11 00:00:00.000 UTC,9.186357327,13.75050473725,1207.69869692042,1739.257170965163
2022-09-12 00:00:00.000 UTC,14.723392138,14.513124132,1928.1072127118782,1847.4304754976474
2022-09-13 00:00:00.000 UTC,13.929467822,14.96511744825,2162.5048139385085,1953.3692435579424
