block_day,deposit_apr,var_borrow_apr,stab_borrow_apr,deposit_apy,var_borrow_apy,stab_borrow_apy
2023-07-04T00:00:00+00:00,0.013431277444258911,0.03284117983990746,0.05404334719990259,0.013521882239879764,0.03338640359589668,0.0555303553998766
2023-07-03T00:00:00+00:00,0.013688923296022643,0.033099171020189076,0.054314916863356925,0.013783045590780639,0.033653042567341133,0.05581704434901462
2023-07-02T00:00:00+00:00,0.01649840871719727,0.03570465153010034,0.057057527926421416,0.016635259026176588,0.036349716961569495,0.05871671436624313
2023-07-01T00:00:00+00:00,0.018281671728602674,0.03734567075452837,0.05878491658371407,0.018449804503745643,0.03805178294790101,0.06054711005379943
2023-06-30T00:00:00+00:00,0.01754267770010882,0.03669777724436375,0.05810292341511974,0.01769745420575172,0.037379453757681466,0.05982407075306679
2023-06-29T00:00:00+00:00,0.016813933187168395,0.03605015628387974,0.05742121714092604,0.01695608293850112,0.0367078425784392,0.05910182824241155
2023-06-28T00:00:00+00:00,0.016946480316777965,0.03616910967224927,0.0575464312339466,0.017090886481875463,0.0368311698238734,0.05923445101995672
2023-06-27T00:00:00+00:00,0.017044564747494245,0.03625705937865114,0.05763900987226436,0.017190652155058633,0.036922362830883314,0.059332518042297965
2023-06-26T00:00:00+00:00,0.016749151698010438,0.035991664674638595,0.057359647025935365,0.01689020514292907,0.03664720564187642,0.05903662122860077
2023-06-25T00:00:00+00:00,0.016846134819603644,0.03607796039737055,0.05745048462881111,0.016988831111738708,0.03673666772164502,0.059132825945892475
2023-06-24T00:00:00+00:00,0.016854647914358634,0.03608664725047929,0.05745962868471504,0.016997488870870218,0.03674567373989658,0.05914251075992414
2023-06-23T00:00:00+00:00,0.016915976877387644,0.036141669267337063,0.05751754659719691,0.017059862184858162,0.036802719147131284,0.05920385585952924
2023-06-22T00:00:00+00:00,0.016609731989944327,0.03586556784260984,0.057226913518536676,0.016748440490090624,0.03651649595467436,0.05889606091239505
2023-06-21T00:00:00+00:00,0.015691519996994783,0.035020264252350206,0.0563371202656318,0.015815278364588726,0.03564069505123829,0.05795428140022761
2023-06-20T00:00:00+00:00,0.01512348235138437,0.03449049603785463,0.055779469513531195,0.015238420899662429,0.035092190832845094,0.057364476868320066
2023-06-19T00:00:00+00:00,0.014440340823834209,0.03383508859584448,0.05508956694299419,0.014545106217295134,0.03441400597651897,0.05663524997569372
2023-06-18T00:00:00+00:00,0.013893270763486395,0.03330229071521136,0.05452872706864354,0.013990230756775215,0.03386301918235628,0.056042812942576965
2023-06-17T00:00:00+00:00,0.014245487005426568,0.03364381430218946,0.054888225581252066,0.01434743748837054,0.034216168089644824,0.05642252701165405
2023-06-16T00:00:00+00:00,0.017055291250370495,0.036260860920951356,0.05764301149573827,0.017201563112026873,0.03692630474259579,0.059336757100642644
2023-06-15T00:00:00+00:00,0.017366501886549562,0.036539388254626326,0.05793619816276455,0.017518176321576314,0.037215157285936766,0.05964738604705383
2023-06-14T00:00:00+00:00,0.01785966171655212,0.03697857571809349,0.05839850075588788,0.018020099166075,0.03767078922599806,0.06013737703384097
2023-06-13T00:00:00+00:00,0.018214124671693508,0.0372817215473682,0.05871760162880863,0.018381013540221224,0.03798540248198054,0.060475721775820376
2023-06-12T00:00:00+00:00,0.018363872519955138,0.03741782589543184,0.05886086936361246,0.01853352532449169,0.038126686422778826,0.06062766461400363
2023-06-11T00:00:00+00:00,0.018260135966626265,0.03732898295171506,0.05876735047548953,0.018427871647354873,0.03803446028899664,0.0605284805321463
2023-06-10T00:00:00+00:00,0.01838784486382575,0.03743718069295386,0.05888124283468827,0.018557942253054623,0.03814677934901953,0.060649273501133784
2023-06-09T00:00:00+00:00,0.018283032234202194,0.03734626203961851,0.058785538989072114,0.018451190111349262,0.0380523967326238,0.060547770144207376
2023-06-08T00:00:00+00:00,0.019676673415246055,0.038525314614536406,0.0600266469626699,0.019871535125681305,0.03927703689811717,0.061864841580501886
2023-06-07T00:00:00+00:00,0.02087484505902598,0.039508257928373675,0.061061324135130185,0.02109424864263446,0.04029908953911086,0.06296409747963777
2023-06-06T00:00:00+00:00,0.022590869163472208,0.04086184550431412,0.062486153162435915,0.02284797527323788,0.04170817890796477,0.06447971907215141
2023-06-05T00:00:00+00:00,0.02302998470930641,0.041209147171494556,0.06285173386473111,0.02329722234834901,0.042070028726629655,0.06486894345678232
2023-06-04T00:00:00+00:00,0.02323720829012807,0.041369316161478445,0.06302033280155625,0.02350929563538739,0.04223694939780554,0.06504849436376961
2023-06-03T00:00:00+00:00,0.02339026967402513,0.041487200442738945,0.06314442151867257,0.02366596737438375,0.042359819993440656,0.06518066306499018
2023-06-02T00:00:00+00:00,0.02365154641207549,0.041692096037590845,0.06336010109220089,0.02393346242258808,0.0425734168103024,0.06541042555231678
2023-06-01T00:00:00+00:00,0.020804586013568525,0.03944260034561081,0.06099221089011664,0.02102251005562197,0.04023078825789986,0.06289063512031048
2023-05-31T00:00:00+00:00,0.020318469952054295,0.039055604190531834,0.060584846516349294,0.02052629523340907,0.03982830082851727,0.0624577395222945
2023-05-30T00:00:00+00:00,0.021624995528463198,0.04010834139891584,0.0616929909462272,0.02186051034193083,0.04092354316978721,0.06363574872766457
2023-05-29T00:00:00+00:00,0.021643821155073368,0.040120949833866174,0.06170626298301703,0.021879747687409985,0.04093666766929237,0.06364986543410356
2023-05-28T00:00:00+00:00,0.02162678688525802,0.04010699344493468,0.061691572047299664,0.021862340860337694,0.04092214005370057,0.06363423953711507
