time,TVL,ETH($) per $ 1 LDO/month,"LDO APR,%","CRV APR,%","Fee APR,%","Total APR,%",Liquidity utilization,Detailed APR,fee to LP,volume_last24h
2022-07-29T00:00:00+00:00,1.420795701684597e+09,63.6540223969534,5.287811095422298,0.0018320380439028508,0.07506848769914953,5.36471162116535,1.0283354479335551,5.29% / 0.08% / 0.00%,0.0002,1.4610545843139e+07
2022-07-30T00:00:00+00:00,1.3929801350403945e+09,66.88978197019199,5.109536988578301,0.0017876828828408482,0.04266692005635971,5.153991591517502,0.5844783569364344,5.11% / 0.04% / 0.00%,0.0002,8.141667405735022e+06
2022-07-30T00:00:00+00:00,1.3929801350403945e+09,66.88978197019199,5.109536988578301,0.0017876828828408482,0.04266692005635971,5.153991591517502,0.5844783569364344,5.11% / 0.04% / 0.00%,0.0002,8.141667405735022e+06
2022-07-31T00:00:00+00:00,1.386886050400698e+09,73.72927580857244,4.715288753214141,0.0017545180019450188,0.06015853150391347,4.77720180272,0.8240894726563488,4.72% / 0.06% / 0.00%,0.0002,1.1429181939091576e+07
2022-07-31T00:00:00+00:00,1.386886050400698e+09,73.72927580857244,4.715288753214141,0.0017545180019450188,0.06015853150391347,4.77720180272,0.8240894726563488,4.72% / 0.06% / 0.00%,0.0002,1.1429181939091576e+07
2022-08-01T00:00:00+00:00,1.3512614188900557e+09,74.70934400363645,4.682034085481132,0.001791537182890449,0.0669464455179382,4.75077206818196,0.91707459613614,4.68% / 0.07% / 0.00%,0.0002,1.2392075200029451e+07
2022-08-01T00:00:00+00:00,1.3512614188900557e+09,74.70934400363645,4.682034085481132,0.001791537182890449,0.0669464455179382,4.75077206818196,0.91707459613614,4.68% / 0.07% / 0.00%,0.0002,1.2392075200029451e+07
2022-08-02T00:00:00+00:00,1.3449589818786545e+09,66.65932205460025,5.201509662057007,0.0018346703776758104,0.062495020843139126,5.265839353277822,0.8560961759334126,5.20% / 0.06% / 0.00%,0.0002,1.1514142411736121e+07
2022-08-02T00:00:00+00:00,1.3449589818786545e+09,66.65932205460025,5.201509662057007,0.0018346703776758104,0.062495020843139126,5.265839353277822,0.8560961759334126,5.20% / 0.06% / 0.00%,0.0002,1.1514142411736121e+07
2022-08-03T00:00:00+00:00,1.344440660541586e+09,58.22121856983974,5.859610365858161,0.0018100799998267384,0.06491162479798229,5.92633207065597,0.8892003396983874,5.86% / 0.06% / 0.00%,0.0002,1.1954770920579026e+07
2022-08-03T00:00:00+00:00,1.344440660541586e+09,58.22121856983974,5.859610365858161,0.0018100799998267384,0.06491162479798229,5.92633207065597,0.8892003396983874,5.86% / 0.06% / 0.00%,0.0002,1.1954770920579026e+07
2022-08-04T00:00:00+00:00,1.3406064969105558e+09,59.33047335617698,5.490661362129616,0.0016873130214069335,0.11555219478724185,5.607900869938264,1.5829067779074226,5.49% / 0.12% / 0.00%,0.0002,2.122055110466445e+07
2022-08-04T00:00:00+00:00,1.3406064969105558e+09,59.33047335617698,5.490661362129616,0.0016873130214069335,0.11555219478724185,5.607900869938264,1.5829067779074226,5.49% / 0.12% / 0.00%,0.0002,2.122055110466445e+07
2022-08-05T00:00:00+00:00,1.4344418808988705e+09,54.791339200361065,5.619187584851484,0.0016710286115303628,0.27761570898541665,5.898474322448431,3.8029549176084467,5.62% / 0.28% / 0.00%,0.0002,5.4551178049878694e+07
2022-08-05T00:00:00+00:00,1.4344418808988705e+09,54.791339200361065,5.619187584851484,0.0016710286115303628,0.27761570898541665,5.898474322448431,3.8029549176084467,5.62% / 0.28% / 0.00%,0.0002,5.4551178049878694e+07
2022-08-06T00:00:00+00:00,1.418840857029913e+09,53.86703218483735,5.573785804000018,0.0016055143768479655,0.06739254112323693,5.642783859500103,0.923185494838862,5.57% / 0.07% / 0.00%,0.0002,1.3098532986947553e+07
2022-08-06T00:00:00+00:00,1.418840857029913e+09,53.86703218483735,5.573785804000018,0.0016055143768479655,0.06739254112323693,5.642783859500103,0.923185494838862,5.57% / 0.07% / 0.00%,0.0002,1.3098532986947553e+07
2022-08-07T00:00:00+00:00,1.4103983142000537e+09,55.460323537931046,5.326792580546488,0.0016299637193094552,0.08734445137280931,5.415766995638607,1.1964993338741001,5.33% / 0.09% / 0.00%,0.0002,1.687540643437518e+07
2022-08-07T00:00:00+00:00,1.4103983142000537e+09,55.460323537931046,5.326792580546488,0.0016299637193094552,0.08734445137280931,5.415766995638607,1.1964993338741001,5.33% / 0.09% / 0.00%,0.0002,1.687540643437518e+07
2022-08-08T00:00:00+00:00,1.4680888326080678e+09,61.561322078260275,4.910284141533163,0.0016114634983137475,0.09786805731018261,5.009763662341659,1.3406583193175698,4.91% / 0.10% / 0.00%,0.0002,1.9682055069332253e+07
2022-08-08T00:00:00+00:00,1.4680888326080678e+09,61.561322078260275,4.910284141533163,0.0016114634983137475,0.09786805731018261,5.009763662341659,1.3406583193175698,4.91% / 0.10% / 0.00%,0.0002,1.9682055069332253e+07
2022-08-09T00:00:00+00:00,1.3866219052098768e+09,59.15991417815846,4.979344957456622,0.001526243205391263,0.054508930325452516,5.035380130987465,0.7466976756911304,4.98% / 0.05% / 0.00%,0.0002,1.035387353682622e+07
2022-08-09T00:00:00+00:00,1.3866219052098768e+09,59.15991417815846,4.979344957456622,0.001526243205391263,0.054508930325452516,5.035380130987465,0.7466976756911304,4.98% / 0.05% / 0.00%,0.0002,1.035387353682622e+07
2022-08-10T00:00:00+00:00,1.5033697833323002e+09,54.00016324709584,5.482869227787515,0.0015193131265151991,0.05651639727917091,5.540904938193201,0.7741972230023413,5.48% / 0.06% / 0.00%,0.0002,1.1639047114014983e+07
2022-08-10T00:00:00+00:00,1.5033697833323002e+09,54.00016324709584,5.482869227787515,0.0015193131265151991,0.05651639727917091,5.540904938193201,0.7741972230023413,5.48% / 0.06% / 0.00%,0.0002,1.1639047114014983e+07
2022-08-11T00:00:00+00:00,1.5458340977133498e+09,62.10018344018045,5.174844207558136,0.0014672575903348394,0.15340380121179692,5.329715266360268,2.101421934408177,5.17% / 0.15% / 0.00%,0.0002,3.2484496798909057e+07
2022-08-11T00:00:00+00:00,1.5458340977133498e+09,62.10018344018045,5.174844207558136,0.0014672575903348394,0.15340380121179692,5.329715266360268,2.101421934408177,5.17% / 0.15% / 0.00%,0.0002,3.2484496798909057e+07
2022-08-12T00:00:00+00:00,1.5074356560535483e+09,58.347678289731114,5.669854968250944,0.0015873346523667799,0.05623596673583275,5.727678269639144,0.7703557087100376,5.67% / 0.06% / 0.00%,0.0002,1.1612616631539116e+07
2022-08-12T00:00:00+00:00,1.5074356560535483e+09,58.347678289731114,5.669854968250944,0.0015873346523667799,0.05623596673583275,5.727678269639144,0.7703557087100376,5.67% / 0.06% / 0.00%,0.0002,1.1612616631539116e+07
2022-08-13T00:00:00+00:00,1.5222594920630975e+09,58.81254227948816,5.874393753119347,0.0016208494119923915,0.20859545654688746,6.084610059078226,2.857472007491609,5.87% / 0.21% / 0.00%,0.0002,4.349813886708696e+07
2022-08-13T00:00:00+00:00,1.5222594920630975e+09,58.81254227948816,5.874393753119347,0.0016208494119923915,0.20859545654688746,6.084610059078226,2.857472007491609,5.87% / 0.21% / 0.00%,0.0002,4.349813886708696e+07
2022-08-14T00:00:00+00:00,1.4910070961936476e+09,63.08018922207815,5.467131214596769,0.0013390703483153127,0.03389821774104652,5.502368502686131,0.4643591471376236,5.47% / 0.03% / 0.00%,0.0002,6.923627835646269e+06
2022-08-14T00:00:00+00:00,1.4910070961936476e+09,63.08018922207815,5.467131214596769,0.0013390703483153127,0.03389821774104652,5.502368502686131,0.4643591471376236,5.47% / 0.03% / 0.00%,0.0002,6.923627835646269e+06
