time,TotalPooledEther,UsersDeposits,RestakedRewards,stETHrebasing,total_rewards,protocolAPR,CL_rewards,CL_APR,EL_rewards,EL_APR,RewardsOnDeposits,RewardsOnRestakedRewards,protocolAPR_withoutRestakedRewards,RestakedRewardsEffect,RestakedRewardsEffect_percent,APRbyLayers,APRbyBase,RestakedRewardsEffect_percent_counter,protocolAPR_ma_7,protocolAPR_ma_10,protocolAPR_ma_14,Lido_gross_deposits
2022-09-03 00:00:00.000 UTC,4.297469827420823e+06,4.1567424609047673e+06,0,140727.36651605615,506.894999215,0.043052466251872416,506.894999215,0.043052466251872416,0,0,506.894999215,0,0.043052466251872416,0,0,4.305% / 4.305% / 0.000%%,4.305% / 4.305% / 0.000%,0E0,0.04313732979527441,0.04313732979527441,0.04313732979527441,382.8850187873468
2022-09-04 00:00:00.000 UTC,4.298217259558428e+06,4.1569829980431534e+06,0,141234.2615152748,508.075860858,0.0431452572111773,508.075860858,0.0431452572111773,0,0,508.07586085799994,0,0.0431452572111773,0,0,4.315% / 4.315% / 0.000%%,4.315% / 4.315% / 0.000%,0E0,0.04313931164925013,0.04313931164925013,0.04313931164925013,240.53713838616386
2022-09-05 00:00:00.000 UTC,4.299079986382786e+06,4.157337649006645e+06,0,141742.33737614055,507.996089661,0.04312982622179002,507.996089661,0.04312982622179002,0,0,507.996089661,0,0.04312982622179002,0,0,4.313% / 4.313% / 0.000%%,4.313% / 4.313% / 0.000%,0E0,0.04313741456375811,0.04313741456375811,0.04313741456375811,354.6509634917602
2022-09-06 00:00:00.000 UTC,4.299941737095578e+06,4.1576914036297686e+06,0,142250.33346580836,503.75860952700003,0.04276148462456899,503.75860952700003,0.04276148462456899,0,0,503.7586095270001,0,0.04276148462456899,0,0,4.276% / 4.276% / 0.000%%,4.276% / 4.276% / 0.000%,0E0,0.043074759573893256,0.043074759573893256,0.043074759573893256,353.7546231234446
2022-09-07 00:00:00.000 UTC,4.300633787245877e+06,4.1578796951705418e+06,0,142754.09207533547,468.62436771,0.039772717854148876,468.62436771,0.039772717854148876,0,0,468.62436771,0,0.039772717854148876,0,0,3.977% / 3.977% / 0.000%%,3.977% / 3.977% / 0.000%,0E0,0.042603039328215485,0.042603039328215485,0.042603039328215485,188.29154077311978
2022-09-08 00:00:00.000 UTC,4.301378857554138e+06,4.158156141111091e+06,0,143222.71644304684,496.793219773,0.04215613904799196,496.793219773,0.04215613904799196,0,0,496.793219773,0,0.04215613904799196,0,0,4.216% / 4.216% / 0.000%%,4.216% / 4.216% / 0.000%,0E0,0.04245399658468792,0.04254717679318755,0.04254717679318755,276.4459405490197
2022-09-09 00:00:00.000 UTC,4.302205206201814e+06,4.1584856965389918e+06,0,143719.50966282198,502.966972175,0.04267182434237035,502.966972175,0.04267182434237035,0,0,502.966972175,0,0.04267182434237035,0,0,4.267% / 4.267% / 0.000%%,4.267% / 4.267% / 0.000%,0E0,0.042384245079131425,0.04256102652087453,0.04256102652087453,329.55542790098116
2022-09-10 00:00:00.000 UTC,4.302921854099826e+06,4.1586993774648244e+06,0,144222.4766350012,504.211326165,0.04277027106008778,504.211326165,0.04277027106008778,0,0,504.21132616499995,0,0.042770271060087774,0,0,4.277% / 4.277% / 0.000%%,4.277% / 4.277% / 0.000%,0E0,0.042343931480305054,0.042581950974795856,0.042581950974795856,213.68092583259568
2022-09-11 00:00:00.000 UTC,4.303697442324383e+06,4.158970754363213e+06,0,144726.68796116966,503.532769228,0.04270501428858745,503.532769228,0.04270501428858745,0,0,503.53276922800006,0,0.04270501428858745,0,0,4.271% / 4.271% / 0.000%%,4.271% / 4.271% / 0.000%,0E0,0.04228103963422079,0.042532508578386106,0.042593138548776915,271.376898388844
2022-09-12 00:00:00.000 UTC,4.305984060173799e+06,4.160753839443395e+06,0,145230.22073040443,503.477739006,0.04267767185598282,503.477739006,0.04267767185598282,0,0,503.477739006,0,0.04267767185598282,0,0,4.268% / 4.268% / 0.000%%,4.268% / 4.268% / 0.000%,0E0,0.04221644615339119,0.04248426727585781,0.042600182991044074,1783.0850801817141
2022-09-13 00:00:00.000 UTC,4.307029252147042e+06,4.161295553677638e+06,0,145733.69846940436,503.943235298,0.04270676378435942,503.943235298,0.04270676378435942,0,0,503.943235298,0,0.04270676378435942,0,0,4.271% / 4.271% / 0.000%%,4.271% / 4.271% / 0.000%,0E0,0.042208628890504106,0.0424496970291065,0.0426083815136068,541.7142342431471
2022-09-14 00:00:00.000 UTC,4.307789694369368e+06,4.161552052664664e+06,0,146237.6417047042,504.419043462,0.04273954021113904,504.419043462,0.04273954021113904,0,0,504.41904346199993,0,0.04273954021113904,0,0,4.274% / 4.274% / 0.000%%,4.274% / 4.274% / 0.000%,0E0,0.04263246065578842,0.04240912532910268,0.042617749992001956,256.49898702604696
2022-09-15 00:00:00.000 UTC,4.309007170469376e+06,4.162265109721203e+06,42.15670671233716,146699.9040414609,541.7055836113371,0.04588586887791146,499.548876899,0.04231493076124851,42.15670671233716,0.00357093811666295,541.7000971054281,0.005486505909098066,0.045885404136364834,4.647415466246847e-07,1.0128206308160419e-05,4.589% / 4.231% / 0.357%%,4.589% / 4.589% / 0.000%,1.0E-3,0.04316527920291978,0.042684729594714824,0.04280963789380384,713.0570565387607
2022-09-16 00:00:00.000 UTC,4.312089913224854e+06,4.164806146893061e+06,286.6755640969765,146997.09076769566,725.2178157816393,0.061386591672977324,480.698958397,0.04068911440756312,244.5188573846393,0.020697477265414207,725.1679003931248,0.04991538851461384,0.06138236654846128,4.225124516062941e-06,6.882813332545488e-05,6.139% / 4.069% / 2.070%%,6.139% / 6.138% / 0.000%,7.0E-3,0.045838817393006485,0.04454724029955566,0.044111531236068945,2541.037171858363
2022-09-17 00:00:00.000 UTC,4.316759458906872e+06,4.168750474759277e+06,427.6706322848563,147581.31351531093,635.2231598798799,0.05371076511519798,494.228091692,0.04178904457957932,140.99506818787984,0.011921720535618657,635.1579992460681,0.0651606338117505,0.05370525551208766,5.509603110318227e-06,0.00010257912168075282,5.371% / 4.179% / 1.192%%,5.371% / 5.371% / 0.001%,1.0E-2,0.04740174511516508,0.04594104502566057,0.044872838297735064,3944.3278662157245
